Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Yuukyuu no Tierblade: Fragments of Memory,PSV,Idea Factory,Adventure,0.01,,,0.01,,05-אוק-17,2017
"Second Novel: Kanojo no Natsu, 15-Bun no Kioku",PSP,Nippon Ichi Software,Adventure,0.01,,,0.01,,29-יול-10,2010
Lost Identities,DS,SVG Distribution,Adventure,0.01,,0.01,,,29-מרץ-11,2011
Curse: The Eye of Isis,XB,DreamCatcher Interactive,Adventure,0.01,0.01,0,,,08-דצמ-03,2003
Deponia Doomsday,PC,Daedalic Entertainment,Adventure,0.01,,0.01,,,01-מרץ-16,2016
Simple DS Series Vol. 45: The Misshitsukara no Dasshutsu 2,DS,D3 Publisher,Adventure,0.01,,,0.01,,27-נוב-08,2008
Timepiece Ensemble,PSV,Entergram,Adventure,0.01,,,0.01,,23rd Feb 17,2017
Sakura Note: Imanitsu na Garu Mirai,DS,Marvelous Interactive,Adventure,0.01,,,0.01,,05-נוב-09,2009
Hoshiiro no Okurimono,PS2,Takuyo,Adventure,0.01,,,0.01,,08-נוב-07,2007
Final Approach 2: 1st Priority Portable,PSP,Princess Soft,Adventure,0.01,,,0.01,,30-אפר-09,2009
Memories Off: Omoide ni Kawaru-Kun,PSP,5pb,Adventure,0.01,,,0.01,,14-אוג-08,2008
Shonen Kininden Tsumuji,DS,Electronic Arts,Adventure,0.01,,,0.01,,25-פבר-10,2010
Simple DS Series Vol. 47: The Suiri: Shinshou 2009,DS,D3 Publisher,Adventure,0.01,,,0.01,,05-מרץ-09,2009
Oretachi no Sekai wa Shimatteiru,PSV,RED Entertainment,Adventure,0.01,,,0.01,,09-נוב-17,2017
Scratches,PC,Got Game Entertainment,Adventure,0.01,,0.01,,,08-מרץ-06,2006
PW: Project Witch,PSP,GungHo,Adventure,0.01,,,0.01,,23rd Jul 09,2009
Like Life Every Hour,PSP,GN Software,Adventure,0.01,,,0.01,,01-אוק-09,2009
Majin Tantei Nougami Neuro: Battle de Yo!,PS2,Compile,Adventure,0.01,,,0.01,,28-אוג-08,2008
Tori no Hoshi: Aerial Planet,PS2,Nippon Ichi Software,Adventure,0.01,,,0.01,,28-פבר-08,2008
Hiiro no Kakera Twin Pack,PS2,Idea Factory,Adventure,0.01,,,0.01,,01-אוק-09,2009
Enigmatis 3: The Shadow Of Karkhala,PC,GSP,Adventure,0.01,,0.01,,,30-יונ-17,2017
Princess Nightmare,PS2,Karin Entertainment,Adventure,0.01,,,0.01,,24-אפר-08,2008
Under the Moon: Crescent,PS2,Dimple Entertainment,Adventure,0.01,,,0.01,,25-יונ-09,2009
KLAP!! Kind Love And Punish: Fun Party,PSV,Idea Factory,Adventure,0.01,,,0.01,,30-מרץ-17,2017
Akai Ito Destiny DS,DS,Alchemist,Adventure,0.01,,,0.01,,26-מרץ-09,2009
Nancy Drew: Message in a Haunted Mansion,GBA,DreamCatcher Interactive,Adventure,0.01,0,0,,,15-נוב-01,2001
Monochrome Fighter: Cross Road,PS2,5pb,Adventure,0.01,,,0.01,,27-נוב-08,2008
Dynamic Chord feat. Apple-Polisher: V Edition,PSV,honeybee,Adventure,0.01,,,0.01,,28-יונ-18,2018
Nancy Drew: The Phantom of Venice,PC,Her Interactive,Adventure,0.01,0,,,,11-יול-08,2008
Natalie Brooks: The Treasures of the Lost Kingdom,DS,Foreign Media Games,Adventure,0.01,,0,,,08-אוק-10,2010
Jewel Quest 6: The Sapphire Dragon,PC,Avanquest Software,Adventure,0.01,,0,,,23rd Mar 12,2012
Nizu no Senritsu Portable 2: Hi no Kioku,PSP,CyberFront,Adventure,0.01,,,0.01,,25-פבר-10,2010
Infinite Loop: Kojjou ga Miseta Yume,PSP,Nippon Ichi Software,Adventure,0.01,,,0.01,,24-יול-08,2008
Tokyo Yamanote Boys for V: Main Disc,PSV,Rejet,Adventure,0.01,,,0.01,,22nd Jun 17,2017
Billion Road,NS,Bandai Namco Games,Board+Game,0.01,,,0.01,,29-נוב-18,2018
Shinseiki Evangelion: Battle Orchestra Portable,PSP,Broccoli,Fighting,0.01,,,0.01,,30-יול-09,2009
Tekken 7,PC,Namco Bandai Games,Fighting,0.01,,0.01,,,02nd Jun 17,2017
Mortal Kombat: Tournament Edition,GBA,Midway Games,Fighting,0.01,0.01,0,,,27-אוג-03,2003
Skullgirls: 2nd Encore,PSV,Arc System Works,Fighting,0.01,,,0.01,,14-אפר-16,2016
Rozen Maiden: Gebetgarten,PS2,Taito,Fighting,0.01,,,0.01,,22nd Mar 07,2007
K-1 Grand Prix,PS,Jaleco,Fighting,0.01,0.01,0.01,,,25-ינו-00,2000
BlazBlue: Calamity Trigger,PC,"H2 Interactive Co., Ltd.",Fighting,0.01,,0.01,,,13-פבר-14,2014
Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,SNK Playmore,Fighting,0.01,,,0.01,,14-אוג-07,2007
Transformers: Prime,Wii,Activision,Fighting,0.01,,0.01,,,30-אוק-12,2012
Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,Namco Bandai Games,Fighting,0.01,,0.01,,,05-פבר-16,2016
Capcom Beat 'Em Up Bundle,NS,Capcom,Fighting,0.01,,,0.01,,18-ספט-18,2018
Samurai Shodown: Warrios Rage,PS,SNK,Fighting,0.01,0.01,0,,,18-אפר-00,2000
Mahou Sensei Negima!? Neo-Pactio Fight!!,Wii,Marvelous Interactive,Fighting,0.01,,,0.01,,14-יונ-07,2007
Battle Fantasia,PS3,505 Games,Fighting,0.01,,0,0.01,,06-מרץ-09,2009
Guilty Gear 2: Overture,X360,Aksys Games,Fighting,0.01,,,0.01,,07-אוק-08,2008
Windy X Windam,DS,Graffiti,Fighting,0.01,0.01,,0,,27-מאי-10,2010
Zatch Bell! Mamodo Fury,PS2,Namco Bandai,Fighting,0.01,0,0,,,19-ספט-06,2006
Ashita no Joe 2: The Anime Super Remix,PS2,Capcom,Fighting,0.01,,,0.01,,20-יונ-02,2002
Smart Kid's Mega Game Mix,DS,UFO Interactive,Misc,0.01,0.01,,,,29-ספט-09,2009
Postman Pat: Special Delivery Service,DS,GSP,Misc,0.01,,0.01,,,07-אוג-09,2009
Ninja Gaiden Sigma 2    Read the review,PSV,Tecmo Koei,Misc,0.01,,0,0.01,7.1,26-פבר-13,2013
Shinobi Koutsutsu,PSP,Idea Factory,Misc,0.01,,,0.01,,30-ינו-14,2014
Diary Girl,DS,Konami,Misc,0.01,0.01,0,,,18-מרץ-08,2008
Magic Encyclopedia: Moonlight,DS,Foreign Media Games,Misc,0.01,,0.01,,,15-אוק-10,2010
Pachitte Chonmage Tatsujin 16: Pachinko Hissatsu Shigotojin III,PS2,Hackberry,Misc,0.01,,,0.01,,27-מאי-10,2010
World Poker Tour,GBA,2K Sports,Misc,0.01,0.01,0,,,18-אוק-05,2005
