Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Ghostbusters: The Video Game    Read the review,PS3,Atari,Action,0.84,0.34,0.36,0.0,8.3,16  Jun 09,2009.0
MadWorld    Read the review,Wii,Sega,Action,0.78,0.45,0.24,0.02,8.7,10  Mar 09,2009.0
Star Wars: The Force Unleashed II    Read the review,Wii,LucasArts,Action,0.78,0.53,0.19,0.0,6.3,26  Oct 10,2010.0
Ace Combat: Assault Horizon    Read the review,PS3,Namco Bandai,Action,0.74,0.3,0.16,0.22,5.0,11  Oct 11,2011.0
Monster Hunter Generations Ultimate    Read the review,NS,Capcom,Action,0.72,0.27,0.14,0.27,4.0,28  Aug 18,2018.0
James Bond 007: Blood Stone    Read the review,PS3,Activision,Action,0.7,0.18,0.37,0.02,6.4,02nd Nov 10,2010.0
X-Men Origins: Wolverine - Uncaged Edition    Read the review,X360,Activision,Action,0.69,0.42,0.21,0.0,6.2,01  May 09,2009.0
Shrek the Third    Read the review,X360,Activision,Action,0.69,0.54,0.09,0.0,8.4,15  May 07,2007.0
Diablo III: Eternal Collection    Read the review,NS,Blizzard Entertainment,Action,0.67,0.38,0.22,0.01,8.0,02nd Nov 18,2018.0
Ghostbusters: The Video Game    Read the review,X360,Atari,Action,0.62,0.43,0.14,0.0,8.3,16  Jun 09,2009.0
Silent Hill: Origins    Read the review,PSP,Konami,Action,0.52,0.22,0.16,0.04,7.4,06  Nov 07,2007.0
Dishonored    Read the review,PC,Bethesda Softworks,Action,0.51,0.27,0.19,0.0,9.1,16  Apr 13,2013.0
Lost: Via Domus    Read the review,PS3,Ubisoft,Action,0.5,0.19,0.23,0.0,3.5,26  Feb 08,2008.0
Transformers: War for Cybertron    Read the review,PS3,Activision,Action,0.5,0.24,0.18,0.0,7.5,22nd Jun 10,2010.0
Dynasty Warriors: Gundam 2    Read the review,PS3,Namco Bandai,Action,0.49,0.09,0.07,0.32,6.4,21  Apr 09,2009.0
Hyrule Warriors: Definitive Edition    Read the review,NS,Nintendo,Action,0.46,0.21,0.15,0.07,7.0,18  May 18,2018.0
Deadpool    Read the review,X360,Activision,Action,0.44,0.26,0.14,0.0,8.2,25  Jun 13,2013.0
Naughty Bear    Read the review,PS3,505 Games,Action,0.44,0.18,0.18,0.0,3.3,29  Jun 10,2010.0
Asura's Wrath    Read the review,PS3,Capcom,Action,0.43,0.2,0.12,0.06,7.0,21  Feb 12,2012.0
Saints Row IV: Re-Elected    Read the review,PS4,Deep Silver,Action,0.42,0.15,0.18,0.03,7.0,20  Jan 15,2015.0
Samurai Warriors Chronicles    Read the review,3DS,Tecmo Koei,Action,0.39,0.12,0.05,0.2,7.8,27  Mar 11,2011.0
The Wonderful 101    Read the review,WiiU,Nintendo,Action,0.36,0.15,0.11,0.08,8.7,15  Sep 13,2013.0
Remember Me    Read the review,PS3,Capcom,Action,0.34,0.1,0.18,0.0,6.3,04  Jun 13,2013.0
Dynasty Warriors: Gundam 2    Read the review,PS2,Namco Bandai,Action,0.34,0.04,0.03,0.25,6.7,21  Apr 09,2009.0
LEGO Harry Potter Collection     Read the review,NS,Warner Bros. Interactive Entertainment,Action,0.33,0.15,0.16,0.0,6.0,30  Oct 18,2018.0
Binary Domain    Read the review,PS3,Sega,Action,0.33,0.09,0.07,0.14,8.1,28  Feb 12,2012.0
Ultimate NES Remix    Read the review,3DS,Nintendo,Action,0.33,0.19,0.11,0.0,7.0,05  Dec 14,2014.0
LEGO The Incredibles    Read the review,XOne,Warner Bros. Interactive Entertainment,Action,0.32,0.19,0.1,0.0,6.0,15  Jun 18,2018.0
Phineas and Ferb: Across the 2nd Dimension    Read the review,PS3,Disney Interactive Studios,Action,0.32,0.15,0.12,0.0,7.2,02nd Aug 11,2011.0
Resident Evil: Revelations 2    Read the review,PS3,Capcom,Action,0.3,0.06,0.05,0.17,6.2,24  Feb 15,2015.0
Batman: The Brave and the Bold the Videogame    Read the review,DS,Warner Bros. Interactive,Action,0.3,0.23,0.04,0.0,7.3,07  Sep 10,2010.0
Batman: The Brave and the Bold the Videogame    Read the review,Wii,Warner Bros. Interactive,Action,0.28,0.2,0.05,0.0,7.2,07  Sep 10,2010.0
Deadly Premonition    Read the review,X360,Ignition Entertainment,Action,0.26,0.18,0.06,0.0,4.0,23rd Feb 10,2010.0
Resident Evil: Deadly Silence    Read the review,DS,Capcom,Action,0.26,0.11,0.02,0.11,7.0,07  Feb 06,2006.0
Ratchet & Clank: Full Frontal Assault    Read the review,PS3,Sony Computer Entertainment,Action,0.25,0.19,0.01,0.0,6.9,27  Nov 12,2012.0
Darksiders III    Read the review,PS4,THQ Nordic,Action,0.25,0.13,0.07,0.0,6.0,27  Nov 18,2018.0
Ninja Gaiden 3    Read the review,X360,Tecmo Koei,Action,0.25,0.16,0.05,0.03,4.0,20  Mar 12,2012.0
Toukiden: The Age of Demons    Read the review,PSV,Tecmo Koei,Action,0.24,0.03,0.02,0.18,7.5,31  Mar 15,2015.0
G.I. Joe: The Rise of Cobra    Read the review,X360,Electronic Arts,Action,0.24,0.17,0.05,0.0,4.7,04  Aug 09,2009.0
Afro Samurai    Read the review,X360,Namco Bandai,Action,0.24,0.16,0.05,0.0,5.7,27  Jan 09,2009.0
Deadly Creatures    Read the review,Wii,THQ,Action,0.22,0.08,0.12,0.0,7.6,09  Feb 09,2009.0
Ninja Gaiden: Dragon Sword    Read the review,DS,Tecmo,Action,0.21,0.16,0.01,0.02,8.3,25  Mar 08,2008.0
Tenchu: Shadow Assassins    Read the review,Wii,Ubisoft,Action,0.21,0.15,0.01,0.03,7.9,05  Feb 09,2009.0
Afro Samurai    Read the review,PS3,Namco Bandai,Action,0.2,0.12,0.05,0.0,5.7,27  Jan 09,2009.0
No More Heroes: Heroes' Paradise    Read the review,PS3,Konami,Action,0.2,0.1,0.04,0.04,7.6,16  Aug 11,2011.0
Dynasty Warriors: Gundam 2    Read the review,X360,Namco Bandai,Action,0.19,0.07,0.03,0.08,6.4,21  Apr 09,2009.0
